id,language,Sentence,Score,
1659,eng,You made a wise choice.,4.5,
1660,eng,You did an excellent job.,5,
1661,eng,Didn't you see a dog pass through the yard?,2.1,
1662,eng,You had better give up smoking for your health.,4.4,
1663,eng,You have to turn in the reports on Monday.,5,
1664,eng,You had better leave there on Monday.,5,
1665,eng,How many times a month do you write home?,2.2,
1666,eng,You should do the honorable thing and resign.,4.8,
1667,eng,"You must make up your mind, and that at once.",5,
1668,eng,You have to account for your absence.,5,
1669,eng,How do you account for your absence?,2.4,
1670,eng,You're off in your reckoning.,5,
1671,eng,You had better call off your plan.,5,
1672,eng,You must go through with your plan.,5,
1673,eng,You should advocate disarmament.,4,
1674,eng,You are the master of your own destiny.,5,
1675,eng,You must judge for yourself.,5,
1676,eng,You need to have friends who can help you out.,4.3,
1677,eng,What do you base your theory on?,2.3,
1678,eng,You do your part and I'll do the rest.,5,
1679,eng,You must live up to your principles.,5,
1680,eng,You should pay attention to your well-being.,4.1,
1681,eng,You are wearing your socks inside out.,3.5,
1682,eng,"You have cleaned your shoes, haven't you?",3.9,
1683,eng,You need not take off your shoes.,3.5,
1684,eng,I suppose you're hungry.,3.6,
1685,eng,You needn't have hurried to the airport.,3.5,
1686,eng,Do you ever dream about flying through the sky?,3.1,
1687,eng,Have you ever been to Kyushu?,2.8,
1688,eng,You must come back before nine o'clock.,4.3,
1689,eng,You can get a loan from a bank.,4.1,
1690,eng,You should make an effort to stop smoking.,4.4,
1691,eng,You had better not smoke while on duty.,4.6,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
